drug1,drug2,severity,effect
Fluoxetine,Meloxicam,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Meloxicam increases risk of gastrointestinal bleeding.
Fluoxetine,Ketorolac,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Ketorolac increases risk of gastrointestinal bleeding.
Fluoxetine,Indomethacin,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Indomethacin increases risk of gastrointestinal bleeding.
Fluoxetine,Piroxicam,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Piroxicam increases risk of gastrointestinal bleeding.
Citalopram,Aspirin,Moderate,SSRI Citalopram combined with NSAID/Aspirin Aspirin increases risk of gastrointestinal bleeding.
Citalopram,Ibuprofen,Moderate,SSRI Citalopram combined with NSAID/Aspirin Ibuprofen increases risk of gastrointestinal bleeding.
Citalopram,Naproxen,Moderate,SSRI Citalopram combined with NSAID/Aspirin Naproxen increases risk of gastrointestinal bleeding.
Citalopram,Diclofenac,Moderate,SSRI Citalopram combined with NSAID/Aspirin Diclofenac increases risk of gastrointestinal bleeding.
Citalopram,Celecoxib,Moderate,SSRI Citalopram combined with NSAID/Aspirin Celecoxib increases risk of gastrointestinal bleeding.
Citalopram,Meloxicam,Moderate,SSRI Citalopram combined with NSAID/Aspirin Meloxicam increases risk of gastrointestinal bleeding.
Citalopram,Ketorolac,Moderate,SSRI Citalopram combined with NSAID/Aspirin Ketorolac increases risk of gastrointestinal bleeding.
Citalopram,Indomethacin,Moderate,SSRI Citalopram combined with NSAID/Aspirin Indomethacin increases risk of gastrointestinal bleeding.
Citalopram,Piroxicam,Moderate,SSRI Citalopram combined with NSAID/Aspirin Piroxicam increases risk of gastrointestinal bleeding.
Escitalopram,Aspirin,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Aspirin increases risk of gastrointestinal bleeding.
Escitalopram,Ibuprofen,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Ibuprofen increases risk of gastrointestinal bleeding.
Escitalopram,Naproxen,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Naproxen increases risk of gastrointestinal bleeding.
Escitalopram,Diclofenac,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Diclofenac increases risk of gastrointestinal bleeding.
Escitalopram,Celecoxib,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Celecoxib increases risk of gastrointestinal bleeding.
Escitalopram,Meloxicam,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Meloxicam increases risk of gastrointestinal bleeding.
Escitalopram,Ketorolac,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Ketorolac increases risk of gastrointestinal bleeding.
Escitalopram,Indomethacin,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Indomethacin increases risk of gastrointestinal bleeding.
Escitalopram,Piroxicam,Moderate,SSRI Escitalopram combined with NSAID/Aspirin Piroxicam increases risk of gastrointestinal bleeding.
Paroxetine,Aspirin,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Aspirin increases risk of gastrointestinal bleeding.
Paroxetine,Ibuprofen,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Ibuprofen increases risk of gastrointestinal bleeding.
Paroxetine,Naproxen,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Naproxen increases risk of gastrointestinal bleeding.
Paroxetine,Diclofenac,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Diclofenac increases risk of gastrointestinal bleeding.
Paroxetine,Celecoxib,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Celecoxib increases risk of gastrointestinal bleeding.
Paroxetine,Meloxicam,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Meloxicam increases risk of gastrointestinal bleeding.
Paroxetine,Ketorolac,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Ketorolac increases risk of gastrointestinal bleeding.
Paroxetine,Indomethacin,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Indomethacin increases risk of gastrointestinal bleeding.
Paroxetine,Piroxicam,Moderate,SSRI Paroxetine combined with NSAID/Aspirin Piroxicam increases risk of gastrointestinal bleeding.
Prednisolone,Aspirin,Moderate,Corticosteroid Prednisolone combined with NSAID Aspirin increases risk of gastrointestinal ulceration and bleeding.
Prednisolone,Ibuprofen,Moderate,Corticosteroid Prednisolone combined with NSAID Ibuprofen increases risk of gastrointestinal ulceration and bleeding.
Prednisolone,Naproxen,Moderate,Corticosteroid Prednisolone combined with NSAID Naproxen increases risk of gastrointestinal ulceration and bleeding.
Prednisolone,Diclofenac,Moderate,Corticosteroid Prednisolone combined with NSAID Diclofenac increases risk of gastrointestinal ulceration and bleeding.
Prednisolone,Celecoxib,Moderate,Corticosteroid Prednisolone combined with NSAID Celecoxib increases risk of gastrointestinal ulceration and bleeding.
Prednisolone,Meloxicam,Moderate,Corticosteroid Prednisolone combined with NSAID Meloxicam increases risk of gastrointestinal ulceration and bleeding.
Prednisolone,Ketorolac,Moderate,Corticosteroid Prednisolone combined with NSAID Ketorolac increases risk of gastrointestinal ulceration and bleeding.
Prednisolone,Indomethacin,Moderate,Corticosteroid Prednisolone combined with NSAID Indomethacin increases risk of gastrointestinal ulceration and bleeding.
Prednisolone,Piroxicam,Moderate,Corticosteroid Prednisolone combined with NSAID Piroxicam increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Aspirin,Moderate,Corticosteroid Dexamethasone combined with NSAID Aspirin increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Ibuprofen,Moderate,Corticosteroid Dexamethasone combined with NSAID Ibuprofen increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Naproxen,Moderate,Corticosteroid Dexamethasone combined with NSAID Naproxen increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Diclofenac,Moderate,Corticosteroid Dexamethasone combined with NSAID Diclofenac increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Celecoxib,Moderate,Corticosteroid Dexamethasone combined with NSAID Celecoxib increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Meloxicam,Moderate,Corticosteroid Dexamethasone combined with NSAID Meloxicam increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Ketorolac,Moderate,Corticosteroid Dexamethasone combined with NSAID Ketorolac increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Indomethacin,Moderate,Corticosteroid Dexamethasone combined with NSAID Indomethacin increases risk of gastrointestinal ulceration and bleeding.
Dexamethasone,Piroxicam,Moderate,Corticosteroid Dexamethasone combined with NSAID Piroxicam increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Aspirin,Moderate,Corticosteroid Hydrocortisone combined with NSAID Aspirin increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Ibuprofen,Moderate,Corticosteroid Hydrocortisone combined with NSAID Ibuprofen increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Naproxen,Moderate,Corticosteroid Hydrocortisone combined with NSAID Naproxen increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Diclofenac,Moderate,Corticosteroid Hydrocortisone combined with NSAID Diclofenac increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Celecoxib,Moderate,Corticosteroid Hydrocortisone combined with NSAID Celecoxib increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Meloxicam,Moderate,Corticosteroid Hydrocortisone combined with NSAID Meloxicam increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Ketorolac,Moderate,Corticosteroid Hydrocortisone combined with NSAID Ketorolac increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Indomethacin,Moderate,Corticosteroid Hydrocortisone combined with NSAID Indomethacin increases risk of gastrointestinal ulceration and bleeding.
Hydrocortisone,Piroxicam,Moderate,Corticosteroid Hydrocortisone combined with NSAID Piroxicam increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Aspirin,Moderate,Corticosteroid Methylprednisolone combined with NSAID Aspirin increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Ibuprofen,Moderate,Corticosteroid Methylprednisolone combined with NSAID Ibuprofen increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Naproxen,Moderate,Corticosteroid Methylprednisolone combined with NSAID Naproxen increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Diclofenac,Moderate,Corticosteroid Methylprednisolone combined with NSAID Diclofenac increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Celecoxib,Moderate,Corticosteroid Methylprednisolone combined with NSAID Celecoxib increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Meloxicam,Moderate,Corticosteroid Methylprednisolone combined with NSAID Meloxicam increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Ketorolac,Moderate,Corticosteroid Methylprednisolone combined with NSAID Ketorolac increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Indomethacin,Moderate,Corticosteroid Methylprednisolone combined with NSAID Indomethacin increases risk of gastrointestinal ulceration and bleeding.
Methylprednisolone,Piroxicam,Moderate,Corticosteroid Methylprednisolone combined with NSAID Piroxicam increases risk of gastrointestinal ulceration and bleeding.
Metformin,Iodinated Contrast,Moderate,Temporary discontinuation of Metformin is recommended before Iodinated Contrast imaging due to renal injury and lactic acidosis risk.
Metformin,Gadolinium Contrast,Moderate,Temporary discontinuation of Metformin is recommended before Gadolinium Contrast imaging due to renal injury and lactic acidosis risk.
Diazepam,Alcohol,Moderate,"Concomitant use of Diazepam and alcohol results in additive CNS depression, causing severe sedation and impairment."
Alprazolam,Alcohol,Moderate,"Concomitant use of Alprazolam and alcohol results in additive CNS depression, causing severe sedation and impairment."
Midazolam,Alcohol,Moderate,"Concomitant use of Midazolam and alcohol results in additive CNS depression, causing severe sedation and impairment."
Lorazepam,Alcohol,Moderate,"Concomitant use of Lorazepam and alcohol results in additive CNS depression, causing severe sedation and impairment."
Clonazepam,Alcohol,Moderate,"Concomitant use of Clonazepam and alcohol results in additive CNS depression, causing severe sedation and impairment."
Temazepam,Alcohol,Moderate,"Concomitant use of Temazepam and alcohol results in additive CNS depression, causing severe sedation and impairment."
Metformin,Alcohol,Moderate,Alcohol ingestion enhances Metformin-induced hypoglycemia and lactic acidosis risk. Avoid excessive alcohol.
Glibenclamide,Alcohol,Moderate,Alcohol ingestion enhances Glibenclamide-induced hypoglycemia and lactic acidosis risk. Avoid excessive alcohol.
Insulin,Alcohol,Moderate,Alcohol ingestion enhances Insulin-induced hypoglycemia and lactic acidosis risk. Avoid excessive alcohol.
Glimepiride,Alcohol,Moderate,Alcohol ingestion enhances Glimepiride-induced hypoglycemia and lactic acidosis risk. Avoid excessive alcohol.
Pioglitazone,Alcohol,Moderate,Alcohol ingestion enhances Pioglitazone-induced hypoglycemia and lactic acidosis risk. Avoid excessive alcohol.
Sitagliptin,Alcohol,Moderate,Alcohol ingestion enhances Sitagliptin-induced hypoglycemia and lactic acidosis risk. Avoid excessive alcohol.
Empagliflozin,Alcohol,Moderate,Alcohol ingestion enhances Empagliflozin-induced hypoglycemia and lactic acidosis risk. Avoid excessive alcohol.
Paracetamol,Alcohol,Minor,Chronic heavy alcohol consumption may increase risk of Paracetamol hepatotoxicity.
Paracetamol,Wine,Minor,Chronic heavy alcohol consumption may increase risk of Paracetamol hepatotoxicity.
Paracetamol,Beer,Minor,Chronic heavy alcohol consumption may increase risk of Paracetamol hepatotoxicity.
Antacid,Ferrous Sulfate,Minor,Antacid reduces gastrointestinal absorption of iron supplements.
Omeprazole,Ferrous Sulfate,Minor,Omeprazole reduces gastrointestinal absorption of iron supplements.
Pantoprazole,Ferrous Sulfate,Minor,Pantoprazole reduces gastrointestinal absorption of iron supplements.
Cimetidine,Ferrous Sulfate,Minor,Cimetidine reduces gastrointestinal absorption of iron supplements.
Ranitidine,Ferrous Sulfate,Minor,Ranitidine reduces gastrointestinal absorption of iron supplements.
Famotidine,Ferrous Sulfate,Minor,Famotidine reduces gastrointestinal absorption of iron supplements.
Esomeprazole,Ferrous Sulfate,Minor,Esomeprazole reduces gastrointestinal absorption of iron supplements.
Lansoprazole,Ferrous Sulfate,Minor,Lansoprazole reduces gastrointestinal absorption of iron supplements.
Aspirin,Ibuprofen,Minor,Ibuprofen may interfere with low-dose Aspirin cardioprotection. Take NSAID at least 2 hours after Aspirin.
Aspirin,Naproxen,Minor,Naproxen may interfere with low-dose Aspirin cardioprotection. Take NSAID at least 2 hours after Aspirin.
Aspirin,Diclofenac,Minor,Diclofenac may interfere with low-dose Aspirin cardioprotection. Take NSAID at least 2 hours after Aspirin.
Metformin,Hydrochlorothiazide,Minor,"Thiazide diuretic Hydrochlorothiazide can increase blood glucose, slightly reducing effect of Metformin."
Metformin,Chlorthalidone,Minor,"Thiazide diuretic Chlorthalidone can increase blood glucose, slightly reducing effect of Metformin."
Metformin,Indapamide,Minor,"Thiazide diuretic Indapamide can increase blood glucose, slightly reducing effect of Metformin."
Glibenclamide,Hydrochlorothiazide,Minor,"Thiazide diuretic Hydrochlorothiazide can increase blood glucose, slightly reducing effect of Glibenclamide."
Glibenclamide,Chlorthalidone,Minor,"Thiazide diuretic Chlorthalidone can increase blood glucose, slightly reducing effect of Glibenclamide."
Glibenclamide,Indapamide,Minor,"Thiazide diuretic Indapamide can increase blood glucose, slightly reducing effect of Glibenclamide."
Insulin,Hydrochlorothiazide,Minor,"Thiazide diuretic Hydrochlorothiazide can increase blood glucose, slightly reducing effect of Insulin."
Insulin,Chlorthalidone,Minor,"Thiazide diuretic Chlorthalidone can increase blood glucose, slightly reducing effect of Insulin."
Insulin,Indapamide,Minor,"Thiazide diuretic Indapamide can increase blood glucose, slightly reducing effect of Insulin."
Glimepiride,Hydrochlorothiazide,Minor,"Thiazide diuretic Hydrochlorothiazide can increase blood glucose, slightly reducing effect of Glimepiride."
Glimepiride,Chlorthalidone,Minor,"Thiazide diuretic Chlorthalidone can increase blood glucose, slightly reducing effect of Glimepiride."
Glimepiride,Indapamide,Minor,"Thiazide diuretic Indapamide can increase blood glucose, slightly reducing effect of Glimepiride."
Pioglitazone,Hydrochlorothiazide,Minor,"Thiazide diuretic Hydrochlorothiazide can increase blood glucose, slightly reducing effect of Pioglitazone."
Pioglitazone,Chlorthalidone,Minor,"Thiazide diuretic Chlorthalidone can increase blood glucose, slightly reducing effect of Pioglitazone."
Pioglitazone,Indapamide,Minor,"Thiazide diuretic Indapamide can increase blood glucose, slightly reducing effect of Pioglitazone."
Sitagliptin,Hydrochlorothiazide,Minor,"Thiazide diuretic Hydrochlorothiazide can increase blood glucose, slightly reducing effect of Sitagliptin."
Sitagliptin,Chlorthalidone,Minor,"Thiazide diuretic Chlorthalidone can increase blood glucose, slightly reducing effect of Sitagliptin."
Sitagliptin,Indapamide,Minor,"Thiazide diuretic Indapamide can increase blood glucose, slightly reducing effect of Sitagliptin."
Empagliflozin,Hydrochlorothiazide,Minor,"Thiazide diuretic Hydrochlorothiazide can increase blood glucose, slightly reducing effect of Empagliflozin."
Empagliflozin,Chlorthalidone,Minor,"Thiazide diuretic Chlorthalidone can increase blood glucose, slightly reducing effect of Empagliflozin."
Empagliflozin,Indapamide,Minor,"Thiazide diuretic Indapamide can increase blood glucose, slightly reducing effect of Empagliflozin."
Levothyroxine,Antacid,Minor,Absorption of Levothyroxine is reduced by concurrent administration of Antacid. Separate by 4 hours.
Levothyroxine,Calcium Carbonate,Minor,Absorption of Levothyroxine is reduced by concurrent administration of Calcium Carbonate. Separate by 4 hours.
Levothyroxine,Ferrous Sulfate,Minor,Absorption of Levothyroxine is reduced by concurrent administration of Ferrous Sulfate. Separate by 4 hours.
Levothyroxine,Magnesium Hydroxide,Minor,Absorption of Levothyroxine is reduced by concurrent administration of Magnesium Hydroxide. Separate by 4 hours.
Metoprolol,Aspirin,Minor,NSAID Aspirin may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Metoprolol,Ibuprofen,Minor,NSAID Ibuprofen may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Metoprolol,Naproxen,Minor,NSAID Naproxen may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Metoprolol,Diclofenac,Minor,NSAID Diclofenac may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Metoprolol,Celecoxib,Minor,NSAID Celecoxib may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Metoprolol,Meloxicam,Minor,NSAID Meloxicam may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Metoprolol,Ketorolac,Minor,NSAID Ketorolac may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Metoprolol,Indomethacin,Minor,NSAID Indomethacin may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Metoprolol,Piroxicam,Minor,NSAID Piroxicam may slightly decrease the antihypertensive effect of beta-blocker Metoprolol by inhibiting prostaglandins.
Atenolol,Aspirin,Minor,NSAID Aspirin may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Atenolol,Ibuprofen,Minor,NSAID Ibuprofen may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Atenolol,Naproxen,Minor,NSAID Naproxen may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Atenolol,Diclofenac,Minor,NSAID Diclofenac may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Atenolol,Celecoxib,Minor,NSAID Celecoxib may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Atenolol,Meloxicam,Minor,NSAID Meloxicam may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Atenolol,Ketorolac,Minor,NSAID Ketorolac may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Atenolol,Indomethacin,Minor,NSAID Indomethacin may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Atenolol,Piroxicam,Minor,NSAID Piroxicam may slightly decrease the antihypertensive effect of beta-blocker Atenolol by inhibiting prostaglandins.
Propranolol,Aspirin,Minor,NSAID Aspirin may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Propranolol,Ibuprofen,Minor,NSAID Ibuprofen may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Propranolol,Naproxen,Minor,NSAID Naproxen may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Propranolol,Diclofenac,Minor,NSAID Diclofenac may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Propranolol,Celecoxib,Minor,NSAID Celecoxib may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Propranolol,Meloxicam,Minor,NSAID Meloxicam may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Propranolol,Ketorolac,Minor,NSAID Ketorolac may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Propranolol,Indomethacin,Minor,NSAID Indomethacin may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Propranolol,Piroxicam,Minor,NSAID Piroxicam may slightly decrease the antihypertensive effect of beta-blocker Propranolol by inhibiting prostaglandins.
Carvedilol,Aspirin,Minor,NSAID Aspirin may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Carvedilol,Ibuprofen,Minor,NSAID Ibuprofen may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Carvedilol,Naproxen,Minor,NSAID Naproxen may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Carvedilol,Diclofenac,Minor,NSAID Diclofenac may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Carvedilol,Celecoxib,Minor,NSAID Celecoxib may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Carvedilol,Meloxicam,Minor,NSAID Meloxicam may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Carvedilol,Ketorolac,Minor,NSAID Ketorolac may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Carvedilol,Indomethacin,Minor,NSAID Indomethacin may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Carvedilol,Piroxicam,Minor,NSAID Piroxicam may slightly decrease the antihypertensive effect of beta-blocker Carvedilol by inhibiting prostaglandins.
Bisoprolol,Aspirin,Minor,NSAID Aspirin may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Bisoprolol,Ibuprofen,Minor,NSAID Ibuprofen may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Bisoprolol,Naproxen,Minor,NSAID Naproxen may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Bisoprolol,Diclofenac,Minor,NSAID Diclofenac may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Bisoprolol,Celecoxib,Minor,NSAID Celecoxib may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Bisoprolol,Meloxicam,Minor,NSAID Meloxicam may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Bisoprolol,Ketorolac,Minor,NSAID Ketorolac may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Bisoprolol,Indomethacin,Minor,NSAID Indomethacin may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Bisoprolol,Piroxicam,Minor,NSAID Piroxicam may slightly decrease the antihypertensive effect of beta-blocker Bisoprolol by inhibiting prostaglandins.
Nebivolol,Aspirin,Minor,NSAID Aspirin may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Nebivolol,Ibuprofen,Minor,NSAID Ibuprofen may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Nebivolol,Naproxen,Minor,NSAID Naproxen may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Nebivolol,Diclofenac,Minor,NSAID Diclofenac may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Nebivolol,Celecoxib,Minor,NSAID Celecoxib may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Nebivolol,Meloxicam,Minor,NSAID Meloxicam may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Nebivolol,Ketorolac,Minor,NSAID Ketorolac may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Nebivolol,Indomethacin,Minor,NSAID Indomethacin may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Nebivolol,Piroxicam,Minor,NSAID Piroxicam may slightly decrease the antihypertensive effect of beta-blocker Nebivolol by inhibiting prostaglandins.
Caffeine,Ciprofloxacin,Minor,"Quinolone Ciprofloxacin reduces hepatic metabolism of caffeine, causing increased nervousness, palpitations, or insomnia."
Caffeine,Levofloxacin,Minor,"Quinolone Levofloxacin reduces hepatic metabolism of caffeine, causing increased nervousness, palpitations, or insomnia."
Caffeine,Moxifloxacin,Minor,"Quinolone Moxifloxacin reduces hepatic metabolism of caffeine, causing increased nervousness, palpitations, or insomnia."
Caffeine,Ofloxacin,Minor,"Quinolone Ofloxacin reduces hepatic metabolism of caffeine, causing increased nervousness, palpitations, or insomnia."
Aspirin,Paracetamol,Minor,"Concomitant use of Aspirin and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Ibuprofen,Paracetamol,Minor,"Concomitant use of Ibuprofen and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Naproxen,Paracetamol,Minor,"Concomitant use of Naproxen and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Diclofenac,Paracetamol,Minor,"Concomitant use of Diclofenac and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Celecoxib,Paracetamol,Minor,"Concomitant use of Celecoxib and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Meloxicam,Paracetamol,Minor,"Concomitant use of Meloxicam and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Ketorolac,Paracetamol,Minor,"Concomitant use of Ketorolac and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Indomethacin,Paracetamol,Minor,"Concomitant use of Indomethacin and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Piroxicam,Paracetamol,Minor,"Concomitant use of Piroxicam and Paracetamol is generally safe for short-term pain, monitor for minor GI side effects."
Pravastatin,Amlodipine,Minor,CCB Amlodipine may minorly increase levels of Pravastatin. Monitor for muscle soreness.
Pravastatin,Nifedipine,Minor,CCB Nifedipine may minorly increase levels of Pravastatin. Monitor for muscle soreness.
Pravastatin,Felodipine,Minor,CCB Felodipine may minorly increase levels of Pravastatin. Monitor for muscle soreness.
Pravastatin,Lercanidipine,Minor,CCB Lercanidipine may minorly increase levels of Pravastatin. Monitor for muscle soreness.
Fluvastatin,Amlodipine,Minor,CCB Amlodipine may minorly increase levels of Fluvastatin. Monitor for muscle soreness.
Fluvastatin,Nifedipine,Minor,CCB Nifedipine may minorly increase levels of Fluvastatin. Monitor for muscle soreness.
Fluvastatin,Felodipine,Minor,CCB Felodipine may minorly increase levels of Fluvastatin. Monitor for muscle soreness.
Fluvastatin,Lercanidipine,Minor,CCB Lercanidipine may minorly increase levels of Fluvastatin. Monitor for muscle soreness.
Rosuvastatin,Amlodipine,Minor,CCB Amlodipine may minorly increase levels of Rosuvastatin. Monitor for muscle soreness.
Rosuvastatin,Nifedipine,Minor,CCB Nifedipine may minorly increase levels of Rosuvastatin. Monitor for muscle soreness.
Rosuvastatin,Felodipine,Minor,CCB Felodipine may minorly increase levels of Rosuvastatin. Monitor for muscle soreness.
Rosuvastatin,Lercanidipine,Minor,CCB Lercanidipine may minorly increase levels of Rosuvastatin. Monitor for muscle soreness.
Metformin,Ibuprofen,Minor,NSAID Ibuprofen may minorly increase the risk of hypoglycemia when used with Metformin.
Metformin,Naproxen,Minor,NSAID Naproxen may minorly increase the risk of hypoglycemia when used with Metformin.
Metformin,Diclofenac,Minor,NSAID Diclofenac may minorly increase the risk of hypoglycemia when used with Metformin.
Metformin,Celecoxib,Minor,NSAID Celecoxib may minorly increase the risk of hypoglycemia when used with Metformin.
Metformin,Meloxicam,Minor,NSAID Meloxicam may minorly increase the risk of hypoglycemia when used with Metformin.
Glimepiride,Ibuprofen,Minor,NSAID Ibuprofen may minorly increase the risk of hypoglycemia when used with Glimepiride.
Glimepiride,Naproxen,Minor,NSAID Naproxen may minorly increase the risk of hypoglycemia when used with Glimepiride.
Glimepiride,Diclofenac,Minor,NSAID Diclofenac may minorly increase the risk of hypoglycemia when used with Glimepiride.
Glimepiride,Celecoxib,Minor,NSAID Celecoxib may minorly increase the risk of hypoglycemia when used with Glimepiride.
Glimepiride,Meloxicam,Minor,NSAID Meloxicam may minorly increase the risk of hypoglycemia when used with Glimepiride.
Sitagliptin,Ibuprofen,Minor,NSAID Ibuprofen may minorly increase the risk of hypoglycemia when used with Sitagliptin.
Sitagliptin,Naproxen,Minor,NSAID Naproxen may minorly increase the risk of hypoglycemia when used with Sitagliptin.
Sitagliptin,Diclofenac,Minor,NSAID Diclofenac may minorly increase the risk of hypoglycemia when used with Sitagliptin.
